17
174, 0.000, 8802071
175, 0.000, 8803651
176, 0.000, 8802903
177, 0.000, 8802532
178, 0.000, 8798979
0, 0.000, 8802815
1, 0.000, 8802493
2, 0.000, 8802129
3, 0.000, 8802192
4, 0.000, 8802526
5, 0.000, 8802344
6, 23.636, 8802516
7, 23.636, 8802286
8, 23.636, 8802428
9, 23.636, 8802261
10, 23.636, 8801985
11, 23.636, 8798705
12, 23.636, 8802159
13, 23.636, 8801262
14, 23.636, 8801739
15, 23.636, 8802167
16, 23.636, 8802391
17, 23.636, 8802152
18, 23.636, 8802511
19, 23.636, 8802405
20, 23.636, 8802952
21, 23.636, 8801911
22, 23.636, 8802170
23, 23.636, 8801855
24, 23.636, 8802589
25, 23.636, 8802012
26, 23.636, 8802186
27, 23.636, 8800594
28, 23.636, 8802230
29, 23.636, 8802831
30, 23.636, 8802245
31, 23.636, 8802000
32, 23.636, 8802285
33, 23.636, 8802925
34, 23.636, 8802599
35, 23.636, 8802034
36, 23.636, 8801860
37, 23.636, 8802516
38, 23.636, 8802186
39, 23.636, 8802287
40, 23.636, 8802327
41, 23.636, 8802214
42, 23.636, 8802862
43, 23.636, 8802433
44, 23.636, 8802244
45, 23.636, 8863005
46, 23.636, 8976331
47, 23.636, 8980693
48, 23.636, 8975629
49, 23.636, 8976944
50, 33.711, 8978546
51, 33.711, 8978056
52, 33.711, 8978154
53, 33.711, 8978783
54, 33.711, 8978417
55, 33.711, 8970406
56, 33.711, 8979457
57, 33.711, 8980241
58, 33.711, 8978222
59, 33.711, 8978887
60, 33.711, 8978166
61, 33.711, 8980264
62, 33.711, 8978095
63, 33.711, 8975163
64, 33.711, 8977747
65, 33.711, 8977286
66, 33.711, 8979108
67, 33.711, 8975090
68, 33.711, 8981712
69, 33.711, 8982017
70, 33.711, 9009946
71, 33.711, 9150720
72, 33.711, 9152676
73, 33.711, 9151988
74, 33.711, 9151488
75, 43.583, 9151593
76, 43.583, 9151908
77, 43.583, 9152266
78, 43.583, 9152277
79, 43.583, 9152441
80, 43.583, 9152217
81, 43.583, 9152593
82, 43.583, 9152570
83, 43.583, 9152628
84, 43.583, 9153966
85, 43.583, 9152711
86, 43.583, 9152207
87, 43.583, 9153078
88, 43.583, 9152451
89, 43.583, 9152651
90, 43.583, 9152515
91, 43.583, 9152317
92, 43.583, 9152728
93, 43.583, 9152117
94, 43.583, 9152805
95, 43.583, 9210764
96, 43.583, 9316702
97, 43.583, 9324991
98, 43.583, 9329903
99, 43.583, 9328165
100, 43.583, 9328925
101, 43.583, 9327817
102, 43.583, 9327822
103, 53.565, 9328049
104, 53.565, 9327454
105, 53.565, 9327990
106, 53.565, 9328297
107, 53.565, 9328005
