4663, 630.04
460, 622.71
462, 627.59
462, 627.59
454, 608.06
433, 556.78
416, 515.26
395, 463.98
376, 417.58
368, 398.05
352, 358.97
338, 324.79
328, 300.37
315, 268.62
306, 246.64
298, 227.11
290, 207.57
263, 141.64
238, 80.59
237, 78.14
240, 85.47
238, 80.59
240, 85.47
240, 85.47
240, 85.47
249, 107.45
250, 109.89
248, 105.01
248, 105.01
248, 105.01
248, 105.01
247, 102.56
248, 105.01
247, 102.56
249, 107.45
248, 105.01
247, 102.56
248, 105.01
247, 102.56
248, 105.01
245, 97.68
243, 92.80
240, 85.47
230, 61.05
220, 36.63
219, 34.19
220, 36.63
221, 39.07
222, 41.51
222, 41.51
223, 43.96
231, 63.49
239, 83.03
244, 95.24
245, 97.68
244, 95.24
244, 95.24
244, 95.24
243, 92.80
243, 92.80
243, 92.80
243, 92.80
243, 92.80
243, 92.80
244, 95.24
243, 92.80
242, 90.35
242, 90.35
242, 90.35
242, 90.35
242, 90.35
242, 90.35
241, 87.91
242, 90.35
242, 90.35
242, 90.35
242, 90.35
241, 87.91
242, 90.35
242, 90.35
242, 90.35
242, 90.35
241, 87.91
241, 87.91
242, 90.35
241, 87.91
242, 90.35
241, 87.91
241, 87.91
241, 87.91
241, 87.91
242, 90.35
242, 90.35
242, 90.35
243, 92.80
242, 90.35
242, 90.35
242, 90.35
242, 90.35
242, 90.35
241, 87.91
242, 90.35
245, 97.68
244, 95.24
245, 97.68
246, 100.12
251, 112.33
261, 136.75
269, 156.29
273, 166.06
280, 183.15
284, 192.92
287, 200.24
290, 207.57
291, 210.01
291, 210.01
292, 212.45
292, 212.45
293, 214.90
293, 214.90
293, 214.90
294, 217.34
293, 214.90
293, 214.90
292, 212.45
292, 212.45
293, 214.90
293, 214.90
293, 214.90
293, 214.90
293, 214.90
293, 214.90
293, 214.90
294, 217.34
294, 217.34
292, 212.45
292, 212.45
292, 212.45
292, 212.45
293, 214.90
292, 212.45
293, 214.90
293, 214.90
293, 214.90
293, 214.90
293, 214.90
293, 214.90
293, 214.90
293, 214.90
292, 212.45
292, 212.45
299, 229.55
308, 251.53
316, 271.06
321, 283.27
323, 288.16
326, 295.48
327, 297.92
325, 293.04
324, 290.60
325, 293.04
324, 290.60
324, 290.60
324, 290.60
324, 290.60
323, 288.16
324, 290.60
324, 290.60
324, 290.60
324, 290.60
324, 290.60
324, 290.60
324, 290.60
324, 290.60
324, 290.60
324, 290.60
323, 288.16
323, 288.16
323, 288.16
324, 290.60
324, 290.60
324, 290.60
324, 290.60
325, 293.04
325, 293.04
324, 290.60
324, 290.60
323, 288.16
324, 290.60
324, 290.60
323, 288.16
324, 290.60
323, 288.16
324, 290.60
324, 290.60
